Australian Bureau of Statistics

"2021 Census - employment, income and education"
"AGEP Age and SEXP Sex by STATE (UR)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"
"STATE (UR)","New South Wales"


"AGEP Age","SEXP Sex",
"0","Male",47069,
,"Female",44443,
"1","Male",47785,
,"Female",45457,
"2","Male",48413,
,"Female",45172,
"3","Male",48218,
,"Female",45414,
"4","Male",49228,
,"Female",46860,
"5","Male",50931,
,"Female",48209,
"6","Male",50695,
,"Female",47730,
"7","Male",51130,
,"Female",48732,
"8","Male",52291,
,"Female",49107,
"9","Male",52384,
,"Female",49606,
"10","Male",51683,
,"Female",48733,
"11","Male",52031,
,"Female",49435,
"12","Male",51390,
,"Female",48683,
"13","Male",51167,
,"Female",48761,
"14","Male",51171,
,"Female",48082,
"15","Male",49266,
,"Female",46415,
"16","Male",48078,
,"Female",44841,
"17","Male",46821,
,"Female",43797,
"18","Male",46225,
,"Female",43497,
"19","Male",45766,
,"Female",43203,
"20","Male",48789,
,"Female",45315,
"21","Male",51023,
,"Female",47724,
"22","Male",50847,
,"Female",48082,
"23","Male",51272,
,"Female",49214,
"24","Male",52878,
,"Female",51031,
"25","Male",53863,
,"Female",52415,
"26","Male",55473,
,"Female",54677,
"27","Male",55729,
,"Female",55662,
"28","Male",56436,
,"Female",56836,
"29","Male",56643,
,"Female",58243,
"30","Male",57664,
,"Female",60243,
"31","Male",58250,
,"Female",60502,
"32","Male",57560,
,"Female",59998,
"33","Male",56304,
,"Female",59574,
"34","Male",56268,
,"Female",59703,
"35","Male",57342,
,"Female",59379,
"36","Male",57330,
,"Female",59415,
"37","Male",57029,
,"Female",59274,
"38","Male",57442,
,"Female",59388,
"39","Male",56181,
,"Female",57394,
"40","Male",55449,
,"Female",56194,
"41","Male",52879,
,"Female",53205,
"42","Male",51375,
,"Female",52683,
"43","Male",49725,
,"Female",51297,
"44","Male",49427,
,"Female",50746,
"45","Male",49240,
,"Female",50715,
"46","Male",49572,
,"Female",50995,
"47","Male",50340,
,"Female",52304,
"48","Male",51259,
,"Female",53602,
"49","Male",53184,
,"Female",55705,
"50","Male",53467,
,"Female",56529,
"51","Male",49130,
,"Female",51538,
"52","Male",48590,
,"Female",51316,
"53","Male",46355,
,"Female",49086,
"54","Male",46032,
,"Female",47988,
"55","Male",46275,
,"Female",47568,
"56","Male",46774,
,"Female",48652,
"57","Male",48499,
,"Female",50538,
"58","Male",49468,
,"Female",51893,
"59","Male",49327,
,"Female",51151,
"60","Male",48391,
,"Female",51116,
"61","Male",46380,
,"Female",49385,
"62","Male",45470,
,"Female",48118,
"63","Male",44679,
,"Female",48075,
"64","Male",43410,
,"Female",46599,
"65","Male",42399,
,"Female",45257,
"66","Male",41070,
,"Female",44650,
"67","Male",39922,
,"Female",43027,
"68","Male",39532,
,"Female",42452,
"69","Male",37547,
,"Female",40632,
"70","Male",37355,
,"Female",39843,
"71","Male",36511,
,"Female",39008,
"72","Male",35147,
,"Female",37366,
"73","Male",35356,
,"Female",37100,
"74","Male",36179,
,"Female",38381,
"75","Male",29770,
,"Female",31784,
"76","Male",27795,
,"Female",30299,
"77","Male",26260,
,"Female",28578,
"78","Male",22582,
,"Female",25294,
"79","Male",21657,
,"Female",24090,
"80","Male",19497,
,"Female",22637,
"81","Male",18415,
,"Female",21225,
"82","Male",16536,
,"Female",20211,
"83","Male",15001,
,"Female",18632,
"84","Male",13802,
,"Female",17453,
"85","Male",12127,
,"Female",15923,
"86","Male",10316,
,"Female",14344,
"87","Male",8980,
,"Female",12493,
"88","Male",7834,
,"Female",11509,
"89","Male",6871,
,"Female",10305,
"90","Male",5874,
,"Female",9620,
"91","Male",5028,
,"Female",8469,
"92","Male",3991,
,"Female",7014,
"93","Male",3006,
,"Female",5835,
"94","Male",2204,
,"Female",4764,
"95","Male",1694,
,"Female",3584,
"96","Male",1137,
,"Female",2846,
"97","Male",772,
,"Female",2043,
"98","Male",515,
,"Female",1531,
"99","Male",333,
,"Female",1017,
"100","Male",191,
,"Female",644,
"101","Male",105,
,"Female",397,
"102","Male",41,
,"Female",203,
"103","Male",24,
,"Female",128,
"104","Male",20,
,"Female",75,
"105","Male",11,
,"Female",36,
"106","Male",0,
,"Female",23,
"107","Male",0,
,"Female",9,
"108","Male",5,
,"Female",0,
"109","Male",0,
,"Female",0,
"110","Male",0,
,"Female",0,
"111","Male",0,
,"Female",0,
"112","Male",0,
,"Female",0,
"113","Male",0,
,"Female",0,
"114","Male",0,
,"Female",0,
"115","Male",0,
,"Female",0,
"Total","Male",3984166,
,"Female",4087995,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
